sample_lib,Block,Input Conc.,captured_lib,Bait,sequencing_lib,sequencing_run,fastq_file,fastq_path,bam_bai_file,bam_file,bam_bai_file_path,bam_file_path,matching_normal_sl,area_type
DM_68_Normal,,,BB48_CL,NimV2mix3,BB48_SeqL,Nimblegen41_BB48,"{'DM-68-Normal_GTGTTA_L001_R1_001.fastq.gz': '', 'DM-68-Normal_GTGTTA_L001_R1_002.fastq.gz': '', 'DM-68-Normal_GTGTTA_L001_R1_003.fastq.gz': '', 'DM-68-Normal_GTGTTA_L001_R1_004.fastq.gz': '', 'DM-68-Normal_GTGTTA_L001_R2_001.fastq.gz': '', 'DM-68-Normal_GTGTTA_L001_R2_002.fastq.gz': '', 'DM-68-Normal_GTGTTA_L001_R2_003.fastq.gz': '', 'DM-68-Normal_GTGTTA_L001_R2_004.fastq.gz': ''}",HiSeqData/Nimblegen41_BB48/131028_D00328_0060_AH7F7UADXX_Project_bastianb-BB48/Sample_DM-68-Normal,,,,,,Normal
DM_68_Tumor,,,BB41_CL,NimV2mix3,BB41_SeqL,Nimblegen35_BB41,"{'DM_68_Tumor_GGATGT_L002_R1_001.fastq.gz': '5e7a580257988a85605115dbe04cdb25', 'DM_68_Tumor_GGATGT_L002_R2_001.fastq.gz': '89dd6c21c18953e7a0ad15c7b3f9698b'}",HiSeqData/Nimblegen35_BB41/Project_bastianb-BB41/Sample_DM_68_Tumor,,,,,,Tumor
DM_74_1_Tumor,,,BB43_CL,NimV2mix4,BB43_SeqL,Nimblegen36_BB43,"{'DM_74_1_Tumor_AAGGGA_L002_R1_001.fastq.gz': '9177e4fe9ca8b46ef1302f97148972b0', 'DM_74_1_Tumor_AAGGGA_L002_R2_001.fastq.gz': 'e1fcb55d828e768355499fd11e2747bd'}",HiSeqData/Nimblegen36_BB43/130918_D00108_0165_AH7AN8ADXX_Project_bastianb-BB43/Sample_DM_74_1_Tumor,,,,,,Tumor
DM_74_2_Tumor,,,BB32_CL,NimV2mix4,BB32_SeqL,Nimblegen27_BB32,"{'DM_74_2_Tumor_CACACA_L001_R1_001.fastq.gz': '124ceef7dadb23290a81627377da7348', 'DM_74_2_Tumor_CACACA_L001_R2_001.fastq.gz': 'fe0978e344208f6d3aa0c9c622b7b061'}",HiSeqData/Nimblegen27_BB32/Sample_DM_74_2_Tumor,,,,,,Tumor
DM_74_2_Tumor,,,BB32_CL,NimV2mix4,BB32_SeqL,Nimblegen27_BB32,"{'DM_74_2_Tumor_CACACA_L001_R1_001.fastq.gz': '124ceef7dadb23290a81627377da7348', 'DM_74_2_Tumor_CACACA_L001_R2_001.fastq.gz': 'fe0978e344208f6d3aa0c9c622b7b061'}",HiSeqData/Nimblegen27_BB32/Sample_DM_74_2_Tumor,,,,,,Tumor
DM_74_2_Tumor,,,BB32_CL,NimV2mix4,BB32_SeqL,Nimblegen27_BB32,"{'DM_74_2_Tumor_CACACA_L001_R1_001.fastq.gz': '124ceef7dadb23290a81627377da7348', 'DM_74_2_Tumor_CACACA_L001_R2_001.fastq.gz': 'fe0978e344208f6d3aa0c9c622b7b061'}",HiSeqData/Nimblegen27_BB32/Sample_DM_74_2_Tumor,,,,,,Tumor
DM_74_2_Tumor,,,BB32_CL,NimV2mix4,BB32_SeqL,Nimblegen27_BB32,"{'DM_74_2_Tumor_CACACA_L001_R1_001.fastq.gz': '124ceef7dadb23290a81627377da7348', 'DM_74_2_Tumor_CACACA_L001_R2_001.fastq.gz': 'fe0978e344208f6d3aa0c9c622b7b061'}",HiSeqData/Nimblegen27_BB32/Sample_DM_74_2_Tumor,,,,,,Tumor
DM_74_2_Tumor,,,BB32_CL,NimV2mix3,BB32_SeqL,Nimblegen27_BB32,"{'DM_74_2_Tumor_CACACA_L001_R1_001.fastq.gz': '124ceef7dadb23290a81627377da7348', 'DM_74_2_Tumor_CACACA_L001_R2_001.fastq.gz': 'fe0978e344208f6d3aa0c9c622b7b061'}",HiSeqData/Nimblegen27_BB32/Sample_DM_74_2_Tumor,,,,,,Tumor
DM_74_2_Tumor,,,BB32_CL,NimV2mix3,BB32_SeqL,Nimblegen27_BB32,"{'DM_74_2_Tumor_CACACA_L001_R1_001.fastq.gz': '124ceef7dadb23290a81627377da7348', 'DM_74_2_Tumor_CACACA_L001_R2_001.fastq.gz': 'fe0978e344208f6d3aa0c9c622b7b061'}",HiSeqData/Nimblegen27_BB32/Sample_DM_74_2_Tumor,,,,,,Tumor
DM_74_2_Tumor,,,BB32_CL,NimV2mix3,BB32_SeqL,Nimblegen27_BB32,"{'DM_74_2_Tumor_CACACA_L001_R1_001.fastq.gz': '124ceef7dadb23290a81627377da7348', 'DM_74_2_Tumor_CACACA_L001_R2_001.fastq.gz': 'fe0978e344208f6d3aa0c9c622b7b061'}",HiSeqData/Nimblegen27_BB32/Sample_DM_74_2_Tumor,,,,,,Tumor
DM_74_2_Tumor,,,BB32_CL,NimV2mix3,BB32_SeqL,Nimblegen27_BB32,"{'DM_74_2_Tumor_CACACA_L001_R1_001.fastq.gz': '124ceef7dadb23290a81627377da7348', 'DM_74_2_Tumor_CACACA_L001_R2_001.fastq.gz': 'fe0978e344208f6d3aa0c9c622b7b061'}",HiSeqData/Nimblegen27_BB32/Sample_DM_74_2_Tumor,,,,,,Tumor
DM_74_2_Tumor,,,BB32_CL,NimV2mix4,BB32_SeqL,Nimblegen34_BB40,"{'DM_74_2_Tumor_CACACA_L001_R1_001.fastq.gz': '124ceef7dadb23290a81627377da7348', 'DM_74_2_Tumor_CACACA_L001_R2_001.fastq.gz': 'fe0978e344208f6d3aa0c9c622b7b061', 'DM_74_2_Tumor_CACACA_L001_R1_002.fastq.gz': '633be1f189353e61d8a27da17fc86c3d', 'DM_74_2_Tumor_CACACA_L001_R1_003.fastq.gz': '6d328b25528b28cb5125638c69633036', 'DM_74_2_Tumor_CACACA_L001_R2_002.fastq.gz': '1f9c87961ad6074a7936c4a468dc5328', 'DM_74_2_Tumor_CACACA_L001_R2_003.fastq.gz': '8b441cbdb23b1359de2e62c6cae8cd6e'}",HiSeqData/Nimblegen34_BB40/Project_bastianb-BB40/Sample_DM_74_2_Tumor,,,,,,Tumor
DM_74_2_Tumor,,,BB32_CL,NimV2mix4,BB32_SeqL,Nimblegen34_BB40,"{'DM_74_2_Tumor_CACACA_L001_R1_001.fastq.gz': '124ceef7dadb23290a81627377da7348', 'DM_74_2_Tumor_CACACA_L001_R2_001.fastq.gz': 'fe0978e344208f6d3aa0c9c622b7b061', 'DM_74_2_Tumor_CACACA_L001_R1_002.fastq.gz': '633be1f189353e61d8a27da17fc86c3d', 'DM_74_2_Tumor_CACACA_L001_R1_003.fastq.gz': '6d328b25528b28cb5125638c69633036', 'DM_74_2_Tumor_CACACA_L001_R2_002.fastq.gz': '1f9c87961ad6074a7936c4a468dc5328', 'DM_74_2_Tumor_CACACA_L001_R2_003.fastq.gz': '8b441cbdb23b1359de2e62c6cae8cd6e'}",HiSeqData/Nimblegen34_BB40/Project_bastianb-BB40/Sample_DM_74_2_Tumor,,,,,,Tumor
DM_74_2_Tumor,,,BB32_CL,NimV2mix4,BB32_SeqL,Nimblegen34_BB40,"{'DM_74_2_Tumor_CACACA_L001_R1_001.fastq.gz': '124ceef7dadb23290a81627377da7348', 'DM_74_2_Tumor_CACACA_L001_R2_001.fastq.gz': 'fe0978e344208f6d3aa0c9c622b7b061', 'DM_74_2_Tumor_CACACA_L001_R1_002.fastq.gz': '633be1f189353e61d8a27da17fc86c3d', 'DM_74_2_Tumor_CACACA_L001_R1_003.fastq.gz': '6d328b25528b28cb5125638c69633036', 'DM_74_2_Tumor_CACACA_L001_R2_002.fastq.gz': '1f9c87961ad6074a7936c4a468dc5328', 'DM_74_2_Tumor_CACACA_L001_R2_003.fastq.gz': '8b441cbdb23b1359de2e62c6cae8cd6e'}",HiSeqData/Nimblegen34_BB40/Project_bastianb-BB40/Sample_DM_74_2_Tumor,,,,,,Tumor
DM_74_2_Tumor,,,BB32_CL,NimV2mix4,BB32_SeqL,Nimblegen34_BB40,"{'DM_74_2_Tumor_CACACA_L001_R1_001.fastq.gz': '124ceef7dadb23290a81627377da7348', 'DM_74_2_Tumor_CACACA_L001_R2_001.fastq.gz': 'fe0978e344208f6d3aa0c9c622b7b061', 'DM_74_2_Tumor_CACACA_L001_R1_002.fastq.gz': '633be1f189353e61d8a27da17fc86c3d', 'DM_74_2_Tumor_CACACA_L001_R1_003.fastq.gz': '6d328b25528b28cb5125638c69633036', 'DM_74_2_Tumor_CACACA_L001_R2_002.fastq.gz': '1f9c87961ad6074a7936c4a468dc5328', 'DM_74_2_Tumor_CACACA_L001_R2_003.fastq.gz': '8b441cbdb23b1359de2e62c6cae8cd6e'}",HiSeqData/Nimblegen34_BB40/Project_bastianb-BB40/Sample_DM_74_2_Tumor,,,,,,Tumor
DM_74_2_Tumor,,,BB32_CL,NimV2mix3,BB32_SeqL,Nimblegen34_BB40,"{'DM_74_2_Tumor_CACACA_L001_R1_001.fastq.gz': '124ceef7dadb23290a81627377da7348', 'DM_74_2_Tumor_CACACA_L001_R2_001.fastq.gz': 'fe0978e344208f6d3aa0c9c622b7b061', 'DM_74_2_Tumor_CACACA_L001_R1_002.fastq.gz': '633be1f189353e61d8a27da17fc86c3d', 'DM_74_2_Tumor_CACACA_L001_R1_003.fastq.gz': '6d328b25528b28cb5125638c69633036', 'DM_74_2_Tumor_CACACA_L001_R2_002.fastq.gz': '1f9c87961ad6074a7936c4a468dc5328', 'DM_74_2_Tumor_CACACA_L001_R2_003.fastq.gz': '8b441cbdb23b1359de2e62c6cae8cd6e'}",HiSeqData/Nimblegen34_BB40/Project_bastianb-BB40/Sample_DM_74_2_Tumor,,,,,,Tumor
DM_74_2_Tumor,,,BB32_CL,NimV2mix3,BB32_SeqL,Nimblegen34_BB40,"{'DM_74_2_Tumor_CACACA_L001_R1_001.fastq.gz': '124ceef7dadb23290a81627377da7348', 'DM_74_2_Tumor_CACACA_L001_R2_001.fastq.gz': 'fe0978e344208f6d3aa0c9c622b7b061', 'DM_74_2_Tumor_CACACA_L001_R1_002.fastq.gz': '633be1f189353e61d8a27da17fc86c3d', 'DM_74_2_Tumor_CACACA_L001_R1_003.fastq.gz': '6d328b25528b28cb5125638c69633036', 'DM_74_2_Tumor_CACACA_L001_R2_002.fastq.gz': '1f9c87961ad6074a7936c4a468dc5328', 'DM_74_2_Tumor_CACACA_L001_R2_003.fastq.gz': '8b441cbdb23b1359de2e62c6cae8cd6e'}",HiSeqData/Nimblegen34_BB40/Project_bastianb-BB40/Sample_DM_74_2_Tumor,,,,,,Tumor
DM_74_2_Tumor,,,BB32_CL,NimV2mix3,BB32_SeqL,Nimblegen34_BB40,"{'DM_74_2_Tumor_CACACA_L001_R1_001.fastq.gz': '124ceef7dadb23290a81627377da7348', 'DM_74_2_Tumor_CACACA_L001_R2_001.fastq.gz': 'fe0978e344208f6d3aa0c9c622b7b061', 'DM_74_2_Tumor_CACACA_L001_R1_002.fastq.gz': '633be1f189353e61d8a27da17fc86c3d', 'DM_74_2_Tumor_CACACA_L001_R1_003.fastq.gz': '6d328b25528b28cb5125638c69633036', 'DM_74_2_Tumor_CACACA_L001_R2_002.fastq.gz': '1f9c87961ad6074a7936c4a468dc5328', 'DM_74_2_Tumor_CACACA_L001_R2_003.fastq.gz': '8b441cbdb23b1359de2e62c6cae8cd6e'}",HiSeqData/Nimblegen34_BB40/Project_bastianb-BB40/Sample_DM_74_2_Tumor,,,,,,Tumor
DM_74_2_Tumor,,,BB32_CL,NimV2mix3,BB32_SeqL,Nimblegen34_BB40,"{'DM_74_2_Tumor_CACACA_L001_R1_001.fastq.gz': '124ceef7dadb23290a81627377da7348', 'DM_74_2_Tumor_CACACA_L001_R2_001.fastq.gz': 'fe0978e344208f6d3aa0c9c622b7b061', 'DM_74_2_Tumor_CACACA_L001_R1_002.fastq.gz': '633be1f189353e61d8a27da17fc86c3d', 'DM_74_2_Tumor_CACACA_L001_R1_003.fastq.gz': '6d328b25528b28cb5125638c69633036', 'DM_74_2_Tumor_CACACA_L001_R2_002.fastq.gz': '1f9c87961ad6074a7936c4a468dc5328', 'DM_74_2_Tumor_CACACA_L001_R2_003.fastq.gz': '8b441cbdb23b1359de2e62c6cae8cd6e'}",HiSeqData/Nimblegen34_BB40/Project_bastianb-BB40/Sample_DM_74_2_Tumor,,,,,,Tumor
DM_93_3_Tumor,,,BB45_CL,NimV2mix3,BB45_SeqL,Nimblegen38_BB45,"{'DM_93_3_Tumor_CCTTCA_L002_R1_001.fastq.gz': 'd5156d8ab8de0788bbf0c0ba90e79441', 'DM_93_3_Tumor_CCTTCA_L002_R2_001.fastq.gz': 'ab7b7b3e2abdef1dff8924fdacf4f292'}",HiSeqData/Nimblegen38_BB45/Sample_DM_93_3_Tumor,,,,,DM_93_Normal,Tumor
DM_93_cgn,,,BB19_CL,NimV2mix2,BB19_SeqL,Nimblegen16_BB19,"{'DM_93_CGN_TGTTGC_L004_R1_001.fastq.gz': 'c20c443253afb2f256fde20143711afa', 'DM_93_CGN_TGTTGC_L004_R1_002.fastq.gz': '4078296139f1c04ed6d87fbc935ce4d1', 'DM_93_CGN_TGTTGC_L004_R2_001.fastq.gz': '12f7891cd32eafef3fe7ef867cb8b567', 'DM_93_CGN_TGTTGC_L004_R2_002.fastq.gz': '8fc876149835cd6314dd76a6ac3a6661'}",HiSeqData/Nimblegen16_BB19/Project_Bastian_Lab_C1T16ACXX_BB19/Sample_DM_93_CGN,,,,,DM_93_Normal,Tumor
DM_93_Normal,,,BB19_CL,NimV2mix2,BB19_SeqL,Nimblegen16_BB19,"{'DM_93_Normal_GTGGCC_L004_R1_001.fastq.gz': '8f46bbc61064d5d794e53b4068bf6ecf', 'DM_93_Normal_GTGGCC_L004_R2_001.fastq.gz': '932c0bceaea94bb9e7bdb70b0b3e1ac2'}",HiSeqData/Nimblegen16_BB19/Project_Bastian_Lab_C1T16ACXX_BB19/Sample_DM_93_Normal,,,,,,Normal
DM_94_Normal,,,BB31_CL,NimV2mix4,BB31_SeqL,Nimblegen26_BB31,"{'DM_94_Normal_GTGTTA_L002_R1_001.fastq.gz': '287d04bd3fb62b59e0a425e68ba05e9e', 'DM_94_Normal_GTGTTA_L002_R2_001.fastq.gz': '19c3b17b2fb2259591f8178c259688ab'}",HiSeqData/Nimblegen26_BB31/Project_Bastian-Lab-BB31/Sample_DM_94_Normal,,,,,,Normal
DM_94_Tumor,,,BB31_CL,NimV2mix4,BB31_SeqL,Nimblegen26_BB31,"{'DM_94_Tumor_CACACA_L002_R1_001.fastq.gz': 'e47cb93a3ead7ff8189ef59af969a263', 'DM_94_Tumor_CACACA_L002_R1_002.fastq.gz': '3af4293ff64ee7d0385057b238197d87', 'DM_94_Tumor_CACACA_L002_R1_003.fastq.gz': 'de0c47df1c2ebaad80fb33ab40070c01', 'DM_94_Tumor_CACACA_L002_R1_004.fastq.gz': '535d69a90444ff2dca9053657e6e4a0f', 'DM_94_Tumor_CACACA_L002_R1_005.fastq.gz': '6587ed82232b6ec95fdd67aa380815af', 'DM_94_Tumor_CACACA_L002_R2_001.fastq.gz': 'c812c766e298d910d41d3061cac95321', 'DM_94_Tumor_CACACA_L002_R2_002.fastq.gz': 'c5f4fc80b8d260bc29e48f400bbb9efb', 'DM_94_Tumor_CACACA_L002_R2_003.fastq.gz': '592599b810ebc21699bd4aac7fa9a608', 'DM_94_Tumor_CACACA_L002_R2_004.fastq.gz': 'e948d13095d443668304cdda9a2d84fe', 'DM_94_Tumor_CACACA_L002_R2_005.fastq.gz': '286c93e07dfb49da7d323f9ee6fba7f6'}",HiSeqData/Nimblegen26_BB31/Project_Bastian-Lab-BB31/Sample_DM_94_Tumor,,,,,DM_94_Normal,Tumor
DM_95_2_Tumor,,,BB16_CL,NimV2mix1,BB16_SeqL,Nimblegen13_BB16,"{'DM_95_2_Tumor_ACACGA_L002_R1_001.fastq.gz': '04b371566118cf27e41f4ecb537bc353', 'DM_95_2_Tumor_ACACGA_L002_R1_002.fastq.gz': '1fbd2703ae3f2810dbafc68ec53d9404', 'DM_95_2_Tumor_ACACGA_L002_R1_003.fastq.gz': '57ee8a757bf96618aee37d6e0f73e977', 'DM_95_2_Tumor_ACACGA_L002_R2_001.fastq.gz': '5fe3b3c9dcebd40362dea7f6c9688025', 'DM_95_2_Tumor_ACACGA_L002_R2_002.fastq.gz': '8ce9d0b1c6b7076298882aec15176a95', 'DM_95_2_Tumor_ACACGA_L002_R2_003.fastq.gz': '898e1b81316cf112617cce0f8b02fd9e'}",HiSeqData/Nimblegen13_BB16/Project_Bastian_Lab_C1T16ACXX_BB16/Sample_DM_95_2_Tumor,,,,,DM_95_Normal,Tumor
DM_95_Normal,,,BB16_CL,NimV2mix1,BB16_SeqL,Nimblegen13_BB16,"{'DM_95_Normal_CACACA_L002_R1_001.fastq.gz': '27c601ffdc764fa175cceee2dffc8f31', 'DM_95_Normal_CACACA_L002_R1_002.fastq.gz': '90146ba5f955e7ba9fd365d02a3ae8d7', 'DM_95_Normal_CACACA_L002_R1_003.fastq.gz': '529a84bbdb1a4a9d278ca48b2d506162', 'DM_95_Normal_CACACA_L002_R2_001.fastq.gz': '42287f15e4eb5c66a62b30be4145f8eb', 'DM_95_Normal_CACACA_L002_R2_002.fastq.gz': '4b4243a9a7f71b4bdaba4ac4d757bfad', 'DM_95_Normal_CACACA_L002_R2_003.fastq.gz': '2d37dba93671fd3d2e1c0e996f301edb'}",HiSeqData/Nimblegen13_BB16/Project_Bastian_Lab_C1T16ACXX_BB16/Sample_DM_95_Normal,,,,,,Normal
DM_95_Tert,,,BB48_CL,Somatic Human WES v6,BB48_SeqL,Nimblegen41_BB48,"{'DM-95-Tert_TGTGAA_L001_R1_001.fastq.gz': '28be19f6618851563f7f82ba74f39987', 'DM-95-Tert_TGTGAA_L001_R2_001.fastq.gz': 'bddee587cf0b281c924a7b1d25620545'}",HiSeqData/Nimblegen41_BB48/131028_D00328_0060_AH7F7UADXX_Project_bastianb-BB48/Sample_DM-95-Tert,,,,,,Tumor
DM_96_2_Tumor,,,BB16_CL,NimV2mix1,BB16_SeqL,Nimblegen13_BB16,"{'DM_96_2_Tumor_GTGTTA_L002_R1_001.fastq.gz': '1af70b3b59e2a038bb66773856eb9ef4', 'DM_96_2_Tumor_GTGTTA_L002_R1_002.fastq.gz': '534a3f9c11f1a083b8b534407a86dbb0', 'DM_96_2_Tumor_GTGTTA_L002_R1_003.fastq.gz': '5c23c4c150f79612a54748bc20c09fbd', 'DM_96_2_Tumor_GTGTTA_L002_R2_001.fastq.gz': '6d710c310baa8daa224b18499f595cb3', 'DM_96_2_Tumor_GTGTTA_L002_R2_002.fastq.gz': '86360a844fd9e8981a58870f5ee801ca', 'DM_96_2_Tumor_GTGTTA_L002_R2_003.fastq.gz': 'e617b427931d3dc2b5b35f6b61be9f62'}",HiSeqData/Nimblegen13_BB16/Project_Bastian_Lab_C1T16ACXX_BB16/Sample_DM_96_2_Tumor,,,,,DM_96_Normal,Tumor
DM_96_Normal,,,BB16_CL,NimV2mix1,BB16_SeqL,Nimblegen13_BB16,"{'DM_96_Normal_TGTGAA_L002_R1_001.fastq.gz': 'bb54c8cdaeb5d16b553b778c424b96c8', 'DM_96_Normal_TGTGAA_L002_R1_002.fastq.gz': '0cf77874806a96d018c6aaa63d5b6bd9', 'DM_96_Normal_TGTGAA_L002_R1_003.fastq.gz': 'c9507869008dc5a04314e0ee018f7427', 'DM_96_Normal_TGTGAA_L002_R2_001.fastq.gz': '358ab6bd0da86999d5bd99ba8555d41e', 'DM_96_Normal_TGTGAA_L002_R2_002.fastq.gz': '1cee577b676510ad7963b224791362a5', 'DM_96_Normal_TGTGAA_L002_R2_003.fastq.gz': '6ec0a9d0efeac25c14e21796a37d1a0c'}",HiSeqData/Nimblegen13_BB16/Project_Bastian_Lab_C1T16ACXX_BB16/Sample_DM96_Normal,{'DM_96_Normal_ACAAAC_L002_R1_001 reads mapped to hg19 Realigned and Recalibrated.bam.sorted.bam.bai': ''},"{'DM_96_Normal_ACAAAC_L002_R1_001 reads mapped to hg19 Realigned and Recalibrated.bam.sorted.bam': '', 'DM_96_Normal_ACAAAC_L002_R1_001 reads mapped to hg19 Realigned and Recalibrated.bam.sorted.bam_histogram.pdf': '', 'DM_96_Normal_ACAAAC_L002_R1_001 reads mapped to hg19 Realigned and Recalibrated.bam.sorted.bam_insert_dist.txt': ''}",HiSeqData/Nimblegen13_BB16/Project_Bastian_Lab_C1T16ACXX_BB16/Sample_Kit8,HiSeqData/Nimblegen13_BB16/Project_Bastian_Lab_C1T16ACXX_BB16/Sample_Kit8,,Normal
DM_98_2_Normal,,,BB31_CL,NimV2mix4,BB31_SeqL,Nimblegen26_BB31,"{'DM_98_2_Normal_ACAAAC_L002_R1_001.fastq.gz': '9997571ef0816cae54c8adac30a4c21b', 'DM_98_2_Normal_ACAAAC_L002_R1_002.fastq.gz': '94a1424dcba050059d30e9960bf4e580', 'DM_98_2_Normal_ACAAAC_L002_R1_003.fastq.gz': '9e2a27452fb3c14766c8f6b62dd9e6d9', 'DM_98_2_Normal_ACAAAC_L002_R1_004.fastq.gz': '166853c6b42661d9bd10266f381454c6', 'DM_98_2_Normal_ACAAAC_L002_R1_005.fastq.gz': 'd783ff512a695cc4851337af51163b0c', 'DM_98_2_Normal_ACAAAC_L002_R1_006.fastq.gz': 'e4736a3b8cd7163e5c313c112c35592a', 'DM_98_2_Normal_ACAAAC_L002_R1_007.fastq.gz': '2e3ca7ac6350c30664f91bb6b2b9b43c', 'DM_98_2_Normal_ACAAAC_L002_R1_008.fastq.gz': '40b01c0f87e6d67de2971149121bf3c9', 'DM_98_2_Normal_ACAAAC_L002_R1_009.fastq.gz': 'a22d2fa800682a7fe8180a84ac1617db', 'DM_98_2_Normal_ACAAAC_L002_R1_010.fastq.gz': 'c4eabd531040df2fa2ec71cd4a8be831', 'DM_98_2_Normal_ACAAAC_L002_R2_001.fastq.gz': '2a9e1771407dfefb4955e813e523a1bc', 'DM_98_2_Normal_ACAAAC_L002_R2_002.fastq.gz': '67fe3f37a22f8967f5e7f37fc216e211', 'DM_98_2_Normal_ACAAAC_L002_R2_003.fastq.gz': '39c48731802dd64ee1162deb2daefcfc', 'DM_98_2_Normal_ACAAAC_L002_R2_004.fastq.gz': '6de92d1c880f6512869ca94345395750', 'DM_98_2_Normal_ACAAAC_L002_R2_005.fastq.gz': '9b8009fb0208093bf1d0214b65ce0876', 'DM_98_2_Normal_ACAAAC_L002_R2_006.fastq.gz': '6b7e9100ee6aa6186b54e5d559942f6b', 'DM_98_2_Normal_ACAAAC_L002_R2_007.fastq.gz': 'bdacfb811bf8512ce03f64d2afc7b509', 'DM_98_2_Normal_ACAAAC_L002_R2_008.fastq.gz': 'ef6ed0b97feafc11cee9dec5f0dd570e', 'DM_98_2_Normal_ACAAAC_L002_R2_009.fastq.gz': '5244002ec2b497579ee2a4b5bcbff8fb', 'DM_98_2_Normal_ACAAAC_L002_R2_010.fastq.gz': '2475b4f5e1e34b8258dec0dde9ffa0bb'}",HiSeqData/Nimblegen26_BB31/Project_Bastian-Lab-BB31/Sample_DM_98_2_Normal,,,,,,Normal
DM_98_Tumor,,,BB31_CL,NimV2mix4,BB31_SeqL,Nimblegen26_BB31,"{'DM_98_Tumor_TGTGAA_L002_R1_001.fastq.gz': '09e8a989a484101f8e4e9abbce140ec1', 'DM_98_Tumor_TGTGAA_L002_R1_002.fastq.gz': '0244b4c824a1811abeb0c9aad78989d8', 'DM_98_Tumor_TGTGAA_L002_R1_003.fastq.gz': '485cdc2d920d0913d71701c0a2fc6f33', 'DM_98_Tumor_TGTGAA_L002_R1_004.fastq.gz': '07ec300b324d399e0fb1925ba62a6191', 'DM_98_Tumor_TGTGAA_L002_R1_005.fastq.gz': 'ce543558960f2e548673f7f3bce2df3c', 'DM_98_Tumor_TGTGAA_L002_R1_006.fastq.gz': '74ccbdf42aee336a380bd035dc027bce', 'DM_98_Tumor_TGTGAA_L002_R2_001.fastq.gz': 'd2c4a01f80bdf9febd955646340db7fa', 'DM_98_Tumor_TGTGAA_L002_R2_002.fastq.gz': 'd9a42ee4a3fdbcc5cc65426792c8ea1c', 'DM_98_Tumor_TGTGAA_L002_R2_003.fastq.gz': '44385b428d101429a09eb75947e0d1c6', 'DM_98_Tumor_TGTGAA_L002_R2_004.fastq.gz': '7afcc05841dcb6e21ed448e6929f0dc4', 'DM_98_Tumor_TGTGAA_L002_R2_005.fastq.gz': '25d554385e92a316d267ab0a024a0d55', 'DM_98_Tumor_TGTGAA_L002_R2_006.fastq.gz': '8e2473e18c8b6757a2ecd97a7226c5a1'}",HiSeqData/Nimblegen26_BB31/Project_Bastian-Lab-BB31/Sample_DM_98_Tumor,,,,,DM_98_2_Normal,Tumor
DM_99_Normal,,,BB31_CL,NimV2mix4,BB31_SeqL,Nimblegen26_BB31,"{'DM_99_Normal_GTGGCC_L002_R1_001.fastq.gz': '67983bc1297960d2319d015a9de97183', 'DM_99_Normal_GTGGCC_L002_R1_002.fastq.gz': 'e413c3e1cb0a0c0ab4e90fce269eb6c7', 'DM_99_Normal_GTGGCC_L002_R1_003.fastq.gz': 'b3cbf0b41da24d2e1160ab97603ad200', 'DM_99_Normal_GTGGCC_L002_R1_004.fastq.gz': 'af973b3a963f820eabd313bfebf138aa', 'DM_99_Normal_GTGGCC_L002_R1_005.fastq.gz': '4a1a72f42fb4f23f948397a5a910f3e0', 'DM_99_Normal_GTGGCC_L002_R1_006.fastq.gz': '0487334890f4232c8e7b591ebcaa8d40', 'DM_99_Normal_GTGGCC_L002_R2_001.fastq.gz': '3c4db49de99e63004754ddb66f3ccdd3', 'DM_99_Normal_GTGGCC_L002_R2_002.fastq.gz': 'f34b28287d81385610d2933584563a21', 'DM_99_Normal_GTGGCC_L002_R2_003.fastq.gz': 'b13b9e80b71bf0697adef86ddcc4e2b8', 'DM_99_Normal_GTGGCC_L002_R2_004.fastq.gz': 'a7ddb732e05c155b19f7c62b3108381d', 'DM_99_Normal_GTGGCC_L002_R2_005.fastq.gz': '460b7ce95a95975251f2c36e035e876d', 'DM_99_Normal_GTGGCC_L002_R2_006.fastq.gz': '9031911f9c040996cd57d65fd9b26ca5'}",HiSeqData/Nimblegen26_BB31/Project_Bastian-Lab-BB31/Sample_DM_99_Normal,,,,,,Normal
DM_99_Tumor,,,BB31_CL,NimV2mix4,BB31_SeqL,Nimblegen26_BB31,"{'DM_99_Tumor_CACCTC_L002_R1_001.fastq.gz': '5d350a6b3393ac2d049939aab4fbb824', 'DM_99_Tumor_CACCTC_L002_R1_002.fastq.gz': 'd24823292c85054f86ad37afd03aa18e', 'DM_99_Tumor_CACCTC_L002_R1_003.fastq.gz': 'fd21ae59d207a1d1f3101ede06b78087', 'DM_99_Tumor_CACCTC_L002_R1_004.fastq.gz': 'ef398322356ed12f0b7ea849c2e22655', 'DM_99_Tumor_CACCTC_L002_R2_001.fastq.gz': '3ae06fb458bf88a450ab1f0aec73f22b', 'DM_99_Tumor_CACCTC_L002_R2_002.fastq.gz': '9c8158d47fc042917da95f76e635dd47', 'DM_99_Tumor_CACCTC_L002_R2_003.fastq.gz': '3ddd79bb8def277435bfd058507c073c', 'DM_99_Tumor_CACCTC_L002_R2_004.fastq.gz': '492ff89fadc6159536cae0f781d7e98c'}",HiSeqData/Nimblegen26_BB31/Project_Bastian-Lab-BB31/Sample_DM_99_Tumor,,,,,DM_99_Normal,Tumor
