Area_ID,Area,Block_ID,Collection method,Area type,HE image,NA_ID,Completion date,People in charge,Notes,Assigned projects
959 Mel,959,11-03286-4 M1,,Mel,,MDD-89,,,,Melanoma Prognosis
658 Mel,658,11-03286T3,,Mel,,MDD-27,,,,Melanoma Prognosis
2863 Tumor,2863,11-5210D,,Tumor,,,,,,
1321 Tumor,1321,11-5482,,Tumor,,Fusion-05,,,,Fusion RNA
460 Spitz mel,460,11-7028,,Spitz mel,,SMPR56,,Noel/Chenxu,,Spitz Melanoma
1336 Tumor,1336,11-12273,,Tumor,,CGH11-045_NA,,,,CGH Validation
617 Tumor,617,11-13665,,Tumor,,CGH11-098-D,,Iwei,,Possible TERT Fusion
2154 Capture Area A1,2154,11-14908C,,Capture Area A1,,,,,,Spatial Gene Expression
473 cellular blue nevus,473,11-19048,,cellular blue nevus,,BND-011,,Noel/Chenxu,,Nevus Library
2253 Tumor,2253,11-19653B2,,Tumor,,MM-3,7/19/2019,,Metastatic,Hockemeyer Melanoma Project
2768 Tumor,2768,11-21178,,Tumor,,CGH11_109_NA,,,,
2150 Normal,2150,11-23681A,,Normal,,24-5_NA,,,Progression Cases,Melanoma Evolution
2090 Normal,2090,11-23681B,,Normal,,D-536,,,Progression Cases. bastianlab2\HiSeqData_Hunter\JJS_T\AperioScans\JJS\JJS1\H&E,Melanoma Evolution
2091 Nevus,2091,11-23681B,,Nevus,,D-537,,,Progression Cases. bastianlab2\HiSeqData_Hunter\JJS_T\AperioScans\JJS\JJS1\H&E,Melanoma Evolution
2092 Mel,2092,11-23681B,,Mel,,D-538,,,Progression Cases. bastianlab2\HiSeqData_Hunter\JJS_T\AperioScans\JJS\JJS1\H&E,Melanoma Evolution
2763 Normal,2763,11-23681C,,Normal,,24-5_NA,,,,
1323 Tumor,1323,11-23710,,Tumor,,Fusion-08,,,,Fusion RNA
1337 Tumor,1337,11-23710,,Tumor,,CGH11-092,,,,CGH Validation
2860 Tumor,2860,11-26903,,Tumor,,,,,,
961 Mel,961,11-27846-2 N1,,Mel,,MDD-91,,,,Melanoma Prognosis
659 Mel,659,11-27846T3,,Mel,,MDD-28,,,,Melanoma Prognosis
2861 Tumor,2861,11-28912B,,Tumor,,,,,,
2152 ,2152,11-29719,,,,,,,Progression Cases.,Melanoma Evolution
1320 Tumor,1320,11-31904,,Tumor,,Fusion-02,,,,Fusion RNA
1494 Mel1,1494,11-36301A1,Scraping,Mel1,,"AM2 D-272,AM2 R-272,AM2 D-533",,Noel/Chenxu,,Acral Melanoma
1495 Mel2,1495,11-36301A1,Scraping,Mel2,,"AM2 D-273,AM2 R-273,AM2 D-534",,Noel/Chenxu,,Acral Melanoma
1496 Mel3,1496,11-36301A1,Scraping,Mel3,,"AM2 D-274,AM2 R-274,AM2 D-535",,Noel/Chenxu,,Acral Melanoma
1497 Normal,1497,11-36301A5,Scraping,Normal,,"AM2 D-275,AM2 R-275",,Noel/Chenxu,,Acral Melanoma
1498 MIS,1498,11-36301A5,Scraping,MIS,,"AM2 D-276,AM2 R-276",,Noel/Chenxu,,Acral Melanoma
1500 Met2,1500,11-36301C1,Scraping,Met2,,"AM2 D-278,AM2 R-278",,Noel/Chenxu,,Acral Melanoma
1499 LN Met 1,1499,11-36301C1,Scraping,LN Met 1,,"AM2 D-277,AM2 R-277",,Noel/Chenxu,,Acral Melanoma
1501 Met3,1501,11-36301C1,Scraping,Met3,,"AM2 D-279,AM2 R-279",,Noel/Chenxu,,Acral Melanoma
1733 Mel,1733,11-37100B,Scraping,Mel,,"MMR-140,MMD-140,MMR-255,MMD-255",,Noel/Chenxu,,California Cancer Registry
2059 Nevus,2059,11-37533B,Scraping,Nevus,,D-621,,,Progression Cases. Hunter has already sequenced this case before. 	bastianlab2\HiSeqData_Hunter\AperioScansForEvaluation\22_2. bastianlab2\HiSeqData_Hunter\JJS_T\AperioScans\JJS\JJS3\H&E,Melanoma Evolution
2058 Normal,2058,11-37533B,Scraping,Normal,,D-620,,,"Progression Cases. Comments:  normal sample has granulation tissue and fat necrosis, copy number data for all samples looks dirty. Hunter has already sequenced this case before. 	bastianlab2\HiSeqData_Hunter\AperioScansForEvaluation\22_2. bastianlab2\HiSeqData_Hunter\JJS_T\AperioScans\JJS\JJS3\H&E
",Melanoma Evolution
2060 Mel1,2060,11-37533B,Scraping,Mel1,,D-622,,,Progression Cases. Hunter has already sequenced this case before. 	bastianlab2\HiSeqData_Hunter\AperioScansForEvaluation\22_2. bastianlab2\HiSeqData_Hunter\JJS_T\AperioScans\JJS\JJS3\H&E,Melanoma Evolution
2061 Mel2,2061,11-37533B,Scraping,Mel2,,D-623,,,Progression Cases. Hunter has already sequenced this case before. 	bastianlab2\HiSeqData_Hunter\AperioScansForEvaluation\22_2. bastianlab2\HiSeqData_Hunter\JJS_T\AperioScans\JJS\JJS3\H&E,Melanoma Evolution
2777 Normal,2777,11-38149,,Normal,,DPN_5_Normal_NA,,,,
2862 Normal,2862,11-38149,,Normal,,,,,,
474 cellular blue nevus,474,11-43354,,cellular blue nevus,,BND-012,,Noel/Chenxu,,Nevus Library
2811 Tumor,2811,11-44609F,,Tumor,,WTMM-23-Tumor_NA,,,,Wild Type Melanoma
469 cellular blue nevus,469,11-47908,,cellular blue nevus,,BND-007,,Noel/Chenxu,,Nevus Library
1959 Typical Melanotic Macule,1959,11-48013,Scraping,Typical Melanotic Macule,,OM D-30,,Noel/Chenxu,,Oral Mucosal Melanoma
2163 ,2163,11-49127,,,,,,,Progression Cases.,Melanoma Evolution
425 Blue + spitz,425,11-53065,,Blue + spitz,,SM D-02,,Noel/Chenxu,,Nevus Library
470 cellular blue nevus,470,11-59209,,cellular blue nevus,,BND-008,,Noel/Chenxu,,Nevus Library
1322 Tumor,1322,11-61046,,Tumor,,Fusion-06,,,,Fusion RNA
1338 Tumor,1338,11-63724,,Tumor,,CGH11-268,,,,CGH Validation
1339 Tumor,1339,11-65284,,Tumor,,CGH11-282,,,,CGH Validation
1340 Tumor,1340,11-66564,,Tumor,,CGH11-294,,,,CGH Validation
2859 Tumor,2859,11-71241,,Tumor,,,,,,
2877 ,2877,11-73238A,,,,,,,,
2878 ,2878,11-73999,,,,,,,,
1731 Mel,1731,11-80898,Scraping,Mel,,"MMD-136,MMR-136,MMD-253,MMR-253,MMD-356 (P041_01B),MMR-356",,Noel/Chenxu,,California Cancer Registry
1732 Normal,1732,11-80898,Scraping,Normal,,"MMD-137,MMD-254,MMD-357 (P041_01C),MMR-357",,Noel/Chenxu,,California Cancer Registry
2765 Tumor,2765,11-81851,,Tumor,,"Ivanka_20_1_NA,Ivanka_20_2_NA,Ivanka_20_3_NA,Ivanka_20_4_NA,Ivanka_20_5_NA",,,,
1341 Tumor,1341,11-84681,,Tumor,,CGH11-386,,,,CGH Validation
471 cellular blue nevus,471,11-85008,,cellular blue nevus,,BND-009,,Noel/Chenxu,,Nevus Library
1342 Tumor,1342,11-87412,,Tumor,,"CGH11-399,CGH11-399",,,,CGH Validation
1343 Tumor,1343,11-88431,,Tumor,,"CGH11-402,CGH11-402",,,,CGH Validation
2036 Normal,2036,11-89154A6,,Normal,,"DNA-259,DNA-264",,Noel/Chenxu,,Melanoma Epigenetics
2149 ,2149,11-89154A7,,,,,,,,
2062 Normal,2062,11-94204,Scraping,Normal,,D-585,,,"Comments:  good normal, copy number data looks dirty. Hunter has already sequenced this case before. bastianlab2\HiSeqData_Hunter\JJS_T\AperioScans\JJS\JJS5
",Melanoma Evolution
2063 Nevus,2063,11-94204,Scraping,Nevus,,D-586,,,Hunter has already sequenced this case before. bastianlab2\HiSeqData_Hunter\JJS_T\AperioScans\JJS\JJS5,Melanoma Evolution
2064 Mel,2064,11-94204,Scraping,Mel,,D-587,,,Hunter has already sequenced this case before. bastianlab2\HiSeqData_Hunter\JJS_T\AperioScans\JJS\JJS5,Melanoma Evolution
2865 Tumor,2865,11-95856,,Tumor,,,,,,
2778 Tumor,2778,11-95856 ,,Tumor,,DPN_7_Tumor_NA,,,,
568 Nodular Mel,568,11B2562 (eppendorf),,Nodular Mel,,NM D-18,,,,Nodular Melanoma
567 Nodular Mel,567,11B9724 (eppendorf),,Nodular Mel,,NM D-17,,,,Nodular Melanoma
1141 Tumor,1141,12-073,,Tumor,,KIT-08,,,,Kit mutants
1142 Tumor,1142,12-095,,Tumor,,KIT-09,,,,Kit mutants
1143 Tumor,1143,12-122,,Tumor,,KIT-10,,,,Kit mutants
2848 Tumor,2848,12-146,,Tumor,,NGS 1-1_NA,,,,
1144 Tumor,1144,12-169,,Tumor,,KIT-11,,,,Kit mutants
1329 Tumor,1329,12-200,,Tumor,,KIT-12,,,,Kit mutants
2405 ,2405,12-562,,,,13_NA,7/31/2015,,,
620 Nevus?,620,12-1782,,Nevus?,,CGH12-039-D,,Iwei,,Possible TERT Fusion
1438 Normal,1438,12-3277,,Normal,,"PROG D-11,PROG R-11,PROG D-14,PROG R-14,PROG D-19,PROG R-19",,Noel/Chenxu,,Werner Syndrome
1439 Invasive 5,1439,12-3277,,Invasive 5,,"PROG D-12,PROG R-12,PROG D-18,PROG R-18",,Noel/Chenxu,,Werner Syndrome
1440 Invasive 6,1440,12-3277,,Invasive 6,,"PROG D-13,PROG R-13",,Noel/Chenxu,,Werner Syndrome
2458 Normal 2,2458,12-3277,,Normal 2,,,,,,
1315 Tumor,1315,12-4251,,Tumor,,Fusion-01,,,,Fusion RNA
2835 Normal,2835,12-4365A8,,Normal,,76_NA,,,,
2817 Met1,2817,12-4365B1,,Met1,,K1_14,,,,Long-Triple Negative Metastatic Melanoma
2818 Met2,2818,12-4365C1,,Met2,,K1_15,,,,Long-Triple Negative Metastatic Melanoma
2819 Met2,2819,12-4365C2,,Met2,,K1_13,,,,Long-Triple Negative Metastatic Melanoma
2814 Tumor,2814,12-004374B,,Tumor,,K2_5,,,,Long-Triple Negative Metastatic Melanoma
918 Mel,918,12-05089-3,,Mel,,MDD-48,,,,Melanoma Prognosis
962 Mel,962,12-05858-A3 M1,,Mel,,MDD-92,,,,Melanoma Prognosis
660 Mel,660,12-05858T3,,Mel,,MDD-29,,,,Melanoma Prognosis
2400 Melanocytic Nevus,2400,12-6261A,,Melanocytic Nevus,,1_NA,7/31/2015,,,
2401 Melanocytic Nevus,2401,12-6261B,,Melanocytic Nevus,,2_NA,7/31/2015,,,
466 cellular blue nevus,466,12-6550,,cellular blue nevus,,BND-004,,Noel/Chenxu,,Nevus Library
1344 Tumor,1344,12-9397B,,Tumor,,CGH12-055,,,,CGH Validation
2834 Met,2834,12-9606A2,,Met,,K1_18,,,,
2831 Normal,2831,12-9606C4,,Normal,,K1_16,,,,
2832 MM,2832,12-9606E4,,MM,,K1_17,,,,
2833 MM,2833,12-9606E9,,MM,,K1_17,,,,
619 Nevus?,619,12-10777,,Nevus?,,CGH12-056-D,,Iwei,,Possible TERT Fusion
997 Tumor,997,12-11041,,Tumor,,CGH12-058,,Iwei,PRKC fused cases,PRKC Fused Cases
2250 Tumor,2250,12-11041,,Tumor,,Fusion-11,,,,Fusion RNA
2776 Tumor,2776,12-11406A,,Tumor,,AM_9_Tumor_NA,,,,Acral Melanoma
661 Mel,661,12-12352T3,,Mel,,MDD-30,,,,Melanoma Prognosis
2402 SCC,2402,12-12366,,SCC,,6_NA,7/31/2015,,,
2403 Melanocytic Nevus,2403,12-12467,,Melanocytic Nevus,,7_NA,7/31/2015,,,
2404 BCC,2404,12-12470D,,BCC,,11_NA,7/31/2015,,,
2407 Cellular Dermatofibroma ,2407,12-12626,,Cellular Dermatofibroma ,,20_NA,7/31/2015,,,
2406 Melanocytic Nevus,2406,12-12647,,Melanocytic Nevus,,15_NA,7/31/2015,,,
2096 Normal,2096,12-12684,,Normal,,D-545,,,,Melanoma Evolution
2097 Nevus,2097,12-12684,,Nevus,,D-546,,,,Melanoma Evolution
2098 Mel,2098,12-12684,,Mel,,D-547,,,,Melanoma Evolution
2411 SCC,2411,12-12750B,,SCC,,28_NA,7/31/2015,,,
2410 Melanocytic Nevus,2410,12-13152,,Melanocytic Nevus,,27_NA,7/31/2015,,,
2408 SCC,2408,12-13587B2,,SCC,,23_NA,7/31/2015,,,
2421 SCC,2421,12-13587B2,,SCC,,44_NA,7/31/2015,,,
2422 SCC,2422,12-13587B2,,SCC,,45_NA,7/31/2015,,,
2423 SCC,2423,12-13587B2,,SCC,,46_NA,7/31/2015,,,
477 nevus or nevus like,477,12-16974B,,nevus or nevus like,,NLD-013,,Noel/Chenxu,,Nevus Library
"446 DPN, pure",446,12-16974C,,"DPN, pure",,SM D-23,,Noel/Chenxu,,Nevus Library
"2409 SCC, in situ",2409,12-18438A,,"SCC, in situ",,24_NA,7/31/2015,,,
2764 Tumor,2764,12-19018B,,Tumor,,26_NA,,,,
2413 Dermatofibroma,2413,12-19187A,,Dermatofibroma,,31_NA,7/31/2015,,,
"2412 SCC, in situ",2412,12-19596,,"SCC, in situ",,29_NA,7/31/2015,,,
467 cellular blue nevus,467,12-20144,,cellular blue nevus,,BND-005,,Noel/Chenxu,,Nevus Library
2416 Tumor,2416,12-21726A,,Tumor,,38_NA,7/31/2015,,,
2164 ,2164,12-21933I,,,,,,,Progression Cases.,Melanoma Evolution
2099 Normal,2099,"12-21993C,12-21993I",,Normal,,D-548,,,"12-21993C, 12-21993I",Melanoma Evolution
2100 Nevus,2100,"12-21993C,12-21993I",,Nevus,,D-549,,,"12-21993C, 12-21993I",Melanoma Evolution
2101 Mel,2101,"12-21993C,12-21993I",,Mel,,D-550,,,"12-21993C, 12-21993I",Melanoma Evolution
2414 Normal,2414,12-22172,,Normal,,35_NA,7/31/2015,,,
2415 Tumor,2415,12-22172,,Tumor,,36_NA,7/31/2015,,,
2426 Melanocytic Nevus,2426,12-22573,,Melanocytic Nevus,,48_NA,7/31/2015,,,
2427 Melanocytic Nevus,2427,12-22582A,,Melanocytic Nevus,,49_NA,7/31/2015,,,
2428 Melanocytic Nevus,2428,12-22587,,Melanocytic Nevus,,51_NA,7/31/2015,,,
2429 Keratosis,2429,12-22592,,Keratosis,,55_NA,7/31/2015,,,
2430 BCC,2430,12-22597,,BCC,,"56_NA,72_NA,73_NA,74_NA,75_NA",7/31/2015,,,
2431 Melanocytic Nevus,2431,12-22602A,,Melanocytic Nevus,,58_NA,7/31/2015,,,
2432 Melanocytic Nevus,2432,12-22602B,,Melanocytic Nevus,,59_NA,7/31/2015,,,
"2433 Pilomatricoma, cystic",2433,12-22603,,"Pilomatricoma, cystic",,60_NA,7/31/2015,,,
2434 BCC,2434,12-22604,,BCC,,61_NA,7/31/2015,,,
2435 Leiomyoma,2435,12-22720A1,,Leiomyoma,,62_NA,7/31/2015,,,
2424 SCC,2424,12-22775,,SCC,,43_NA,7/31/2015,,,
2419 Normal,2419,12-22776B5,,Normal,,41_NA,7/31/2015,,,
2425 Mel,2425,12-22794A,,Mel,,47_NA,7/31/2015,,,
2436 Melanocytic Nevus,2436,12-22868,,Melanocytic Nevus,,64_NA,7/31/2015,,,
2437 Melanocytic Nevus,2437,12-22884C,,Melanocytic Nevus,,65_NA,7/31/2015,,,
2438 Melanocytic Nevus,2438,12-22884D,,Melanocytic Nevus,,66_NA,7/31/2015,,,
2439 Melanocytic Nevus,2439,12-22886,,Melanocytic Nevus,,67_NA,7/31/2015,,,
2440 Melanocytic Nevus,2440,12-22894B,,Melanocytic Nevus,,68_NA,7/31/2015,,,
2441 Melanocytic Nevus,2441,12-22898,,Melanocytic Nevus,,70_NA,7/31/2015,,,
2442 SCC,2442,12-22900,,SCC,,71_NA,7/31/2015,,,
2418 Tumor,2418,12-22901A,,Tumor,,40_NA,7/31/2015,,,
2417 Normal,2417,12-22901A,,Normal,,39_NA,7/31/2015,,,
455 Spitz mel,455,12-24027C,,Spitz mel,,SMPR11,,Noel/Chenxu,,Spitz Melanoma
1490 Normal,1490,12-24189A1,Scraping,Normal,,"AM2 D-268,AM2 R-268,AM2 D-368",,Noel/Chenxu,,Acral Melanoma
1491 Mel1,1491,12-24189A1,Scraping,Mel1,,"AM2 D-269,AM2 R-269,AM2 D-513,AM2 R-513",,Noel/Chenxu,,Acral Melanoma
1492 Mel2,1492,12-24189A1,Scraping,Mel2,,"AM2 D-270,AM2 R-270,AM2 D-514,AM2 R-514",,Noel/Chenxu,,Acral Melanoma
621 Nevus?,621,12-24226,,Nevus?,,CGH12-092-D,,Iwei,,Possible TERT Fusion
1493 Lung Met 1,1493,12-24455,Scraping,Lung Met 1,,"AM2 D-271,AM2 R-271",,Noel/Chenxu,,Acral Melanoma
490 nevus or nevus like,490,12-26470,,nevus or nevus like,,CGH12-109,,Noel/Chenxu,,Nevus Library
468 cellular blue nevus,468,12-32138,,cellular blue nevus,,BND-006,,Noel/Chenxu,,Nevus Library
463 cellular blue nevus,463,12-37217,,cellular blue nevus,,BND-001,,Noel/Chenxu,,Nevus Library
1345 Tumor,1345,12-48249,,Tumor,,CGH12-191,,,,CGH Validation
880 DPN-mm,880,12-051311,,DPN-mm,,DNPD-08,,Noel/Chenxu,,Deep Penetrating Melanoma
881 MM,881,12-051311,,MM,,DNPD-07,,Noel/Chenxu,,Deep Penetrating Melanoma
429 common + blue,429,12-51532,,common + blue,,SM D-06,,Noel/Chenxu,,Nevus Library
464 cellular blue nevus,464,12-52736,,cellular blue nevus,,BND-002,,Noel/Chenxu,,Nevus Library
2105 Normal,2105,"12-57349C,12-57349E",,Normal,,D-624,,,"Progression Cases. bastianlab2\HiSeqData_Hunter\JJS_T\AperioScans\JJS\JJS11w , 12-57349C, 12-57349E",Melanoma Evolution
2106 Nevus,2106,"12-57349C,12-57349E",,Nevus,,D-625,,,"Progression Cases. bastianlab2\HiSeqData_Hunter\JJS_T\AperioScans\JJS\JJS11w , 12-57349C, 12-57349E",Melanoma Evolution
2107 Mel1,2107,"12-57349C,12-57349E",,Mel1,,D-626,,,"Progression Cases. bastianlab2\HiSeqData_Hunter\JJS_T\AperioScans\JJS\JJS11w , 12-57349C, 12-57349E",Melanoma Evolution
2108 Mel2,2108,"12-57349C,12-57349E",,Mel2,,D-627,,,"Progression Cases. bastianlab2\HiSeqData_Hunter\JJS_T\AperioScans\JJS\JJS11w , 12-57349C, 12-57349E",Melanoma Evolution
2165 ,2165,12-57797,,,,,,,Progression Cases.,Melanoma Evolution
1346 Tumor,1346,12-64897,,Tumor,,CGH12-273,,,,CGH Validation
2093 Normal,2093,"12-67568A,12-67568B",,Normal,,D-539,,,"Progression Cases, 12-67568A, 12-67568B",Melanoma Evolution
2094 Nevus,2094,"12-67568A,12-67568B",,Nevus,,D-540,,,"Progression Cases, 12-67568A, 12-67568B",Melanoma Evolution
2095 Mel,2095,"12-67568A,12-67568B",,Mel,,D-541,,,"Progression Cases, 12-67568A, 12-67568B",Melanoma Evolution
998 Tumor,998,12-70514,,Tumor,,CGH12-301,,Iwei,PRKC fused cases,PRKC Fused Cases
2102 Normal,2102,12-79097B,,Normal,,D-542,,,,Melanoma Evolution
2103 Nevus,2103,12-79097B,,Nevus,,D-543,,,,Melanoma Evolution
2104 Mel,2104,12-79097B,,Mel,,D-544,,,,Melanoma Evolution
1628 Mel,1628,12-85105A,Scraping,Mel,,"MMD-03,MMR-03",,Noel/Chenxu,,California Cancer Registry
457 Spitz mel,457,12-91942,,Spitz mel,,SMPR20,,Noel/Chenxu,,Spitz Melanoma
2065 Normal,2065,12-93589A,Scraping,Normal,,D-588,,,"Progression Cases. 	bastianlab2\HiSeqData_Hunter\JJS_T\AperioScans\JJS\JJS12. Comments:  good normal, copy number data looks dirty",Melanoma Evolution
2066 Nevus,2066,12-93589A,Scraping,Nevus,,D-589,,,Progression Cases. 	bastianlab2\HiSeqData_Hunter\JJS_T\AperioScans\JJS\JJS12.,Melanoma Evolution
2067 Mel,2067,12-93589A,Scraping,Mel,,D-590,,,Progression Cases. 	bastianlab2\HiSeqData_Hunter\JJS_T\AperioScans\JJS\JJS12.,Melanoma Evolution
465 cellular blue nevus,465,12-97918,,cellular blue nevus,,BND-003,,Noel/Chenxu,,Nevus Library
2812 Tumor,2812,12-98575A1,,Tumor,,WTMM-24-Tumor_NA,,,,Wild Type Melanoma
2851 Tumor,2851,13-014,,Tumor,,NGS 1-5_NA,,,,
2850 Tumor,2850,13-026,,Tumor,,NGS 1-4_NA,,,,
1140 Tumor,1140,13-028,,Tumor,,KIT-07,,,,Kit mutants
2849 Normal,2849,13-034,,Normal,,NGS 1-3_NA,,,,
1960 Typical Melanotic Macule,1960,13-48,Scraping,Typical Melanotic Macule,,"OM D-31,OM R-31",,Noel/Chenxu,,Oral Mucosal Melanoma
1139 Tumor,1139,13-074,,Tumor,,KIT-06,,,,Kit mutants
1138 Tumor,1138,13-122,,Tumor,,KIT-05,,,,Kit mutants
1137 Tumor,1137,13-129,,Tumor,,KIT-04,,,,Kit mutants
1136 Tumor,1136,13-140,,Tumor,,KIT-03,,,,Kit mutants
1135 Tumor,1135,13-207,,Tumor,,KIT-02,,,,Kit mutants
2853 Tumor,2853,13-2054,,Tumor,,NGS 1-7_NA,,,,
2068 Normal,2068,13-2138C,Scraping,Normal,,D-628,,,Progression Cases. bastianlab2\HiSeqData_Hunter\JJS_T\AperioScans\JJS\JJS13,Melanoma Evolution
2069 Nevus,2069,13-2138C,Scraping,Nevus,,D-629,,,Progression Cases. bastianlab2\HiSeqData_Hunter\JJS_T\AperioScans\JJS\JJS13,Melanoma Evolution
2070 AMB,2070,13-2138C,Scraping,AMB,,D-630,,,Progression Cases. bastianlab2\HiSeqData_Hunter\JJS_T\AperioScans\JJS\JJS13,Melanoma Evolution
2071 Mel,2071,13-2138C,Scraping,Mel,,D-631,,,Progression Cases. bastianlab2\HiSeqData_Hunter\JJS_T\AperioScans\JJS\JJS13,Melanoma Evolution
2880 ,2880,13-2939B,,,,,,,,
2816 Tumor,2816,13-006535-C,,Tumor,,K2_7,,,,Long-Triple Negative Metastatic Melanoma
2852 Tumor,2852,13-9682,,Tumor,,NGS 1-6_NA,,,,
2810 Tumor,2810,13-9916,,Tumor,,WTMM-22-Tumor_NA,,,,Wild Type Melanoma
2726 Tumor,2726,13-10776A1,,Tumor,,KAM128-T,,,,Acral Melanoma
1961 Typical Melanotic Macule,1961,13-11936,Scraping,Typical Melanotic Macule,,"OM D-32,OM R-32",,Noel/Chenxu,,Oral Mucosal Melanoma
2883 Tumor,2883,13-12947A2,,Tumor,,AGL14-Bastian3-Tumor_NA,,,,
1678 Mel,1678,13-14077,Scraping,Mel,,"MMD-70,MMR-70,MMD-189,MMD-273,MMD-354,MMR-354",,Noel/Chenxu,,California Cancer Registry
1679 Normal,1679,13-14077,Scraping,Normal,,"MMD-71,MMD-190,MMD-274,MMD-355 (P041_01A),MMR-355",,Noel/Chenxu,,California Cancer Registry
2677 MIS,2677,13-17186A14,Scraping,MIS,,,,,,Mucosal Melanoma
2676 Invasive,2676,13-17186A16,Scraping,Invasive,,,,,,Mucosal Melanoma
2679  (+) Lymph Node,2679,13-17186A20,Scraping, (+) Lymph Node,,,,,,Mucosal Melanoma
2678 Normal,2678,13-17186A21,Scraping,Normal,,MucM D-015,,,,Mucosal Melanoma
2725 Tumor,2725,13-17202A11,,Tumor,,KAM127-T,,,,Acral Melanoma
2724 Normal,2724,13-17202C4,,Normal,,KAM127-N,,,,Acral Melanoma
2884 Tumor,2884,13-18444A16,,Tumor,,AGL14-Bastian4-Tumor_NA,,,,
1529 Mel1,1529,13-23696A5,Scraping,Mel1,,"AM2 D-308,AM2 R-308,AM2 D-457,AM2 R-457",,Noel/Chenxu,,Acral Melanoma
1530 Mel2,1530,13-23696A5,Scraping,Mel2,,"AM2 D-309,AM2 R-309",,Noel/Chenxu,,Acral Melanoma
1532 Mel4,1532,13-23696A5,Scraping,Mel4,,"AM2 D-311,AM2 R-311,AM2 D-458,AM2 R-458",,Noel/Chenxu,,Acral Melanoma
1531 Mel3,1531,13-23696A5,Scraping,Mel3,,"AM2 D-310,AM2 R-310,AM2 D-531,AM2 R-531",,Noel/Chenxu,,Acral Melanoma
1533 MIS1,1533,13-23696A5,Scraping,MIS1,,"AM2 D-312,AM2 R-312",,Noel/Chenxu,,Acral Melanoma
960 Mel,960,13-24372-B CONSULTA,,Mel,,MDD-90,,,,Melanoma Prognosis
662 Mel,662,13-24372AT1,,Mel,,MDD-31,,,,Melanoma Prognosis
631 Mel,631,13-24372BT1,,Mel,,MDD-41,,,,Melanoma Prognosis
963 Mel,963,13-26846-A1 N1,,Mel,,MDD-93,,,,Melanoma Prognosis
663 Mel,663,13-26846T4,,Mel,,MDD-32,,,,Melanoma Prognosis
1470 Normal,1470,13-30315A3,Scraping,Normal,,"AM2 D-256,AM2 R-256,AM2 D-467,AM2 R-467",,Noel/Chenxu,,Acral Melanoma
1471 Mel1,1471,13-30315A3,Scraping,Mel1,,"AM2 D-257,AM2 R-257,AM2 D-470,AM2 R-470",,Noel/Chenxu,,Acral Melanoma
1472 MIS1,1472,13-30315A3,Scraping,MIS1,,"AM2 D-258,AM2 R-258,AM2 D-481 (P041_03B)",,Noel/Chenxu,,Acral Melanoma
1347 Tumor,1347,13-32039,,Tumor,,CGH13-159,,,,CGH Validation
1689 Mel,1689,13-32289A,Scraping,Mel,,"MMD-86,MMR-86",,Noel/Chenxu,,California Cancer Registry
1690 Normal,1690,13-32289A,Scraping,Normal,,MMD-87,,Noel/Chenxu,,California Cancer Registry
1691 Mel,1691,13-32289B,Scraping,Mel,,"MMD-86,MMR-86,MMR-191,MMD-191",,Noel/Chenxu,,California Cancer Registry
1692 MIS,1692,13-32289B,Scraping,MIS,,"MMD-88,MMR-88,MMD-192,MMR-192,MMD-272",,Noel/Chenxu,,California Cancer Registry
2809 Tumor,2809,13-32982A,,Tumor,,WTMM-21-Tumor_NA,,,,Wild Type Melanoma
2805 Tumor,2805,13-35959,,Tumor,,WTMM-17-Tumor_NA,,,,Wild Type Melanoma
2712 Tumor,2712,13-46194,,Tumor,,"AM-30-Tumor,AM-30-Tumor",,,,Acral Melanoma
2881 ,2881,13-48798,,,,,,,,
2882 ,2882,13-51115A,,,,,,,,
1963 Typical Melanotic Macule,1963,13-51506A,Scraping,Typical Melanotic Macule,,OM D-33A,,Noel/Chenxu,,Oral Mucosal Melanoma
1962 Typical Melanotic Macule,1962,13-51506B,Scraping,Typical Melanotic Macule,,"OM D-33,OM R-33",,Noel/Chenxu,,Oral Mucosal Melanoma
1981 Typical Melanotic Macule,1981,13-55769,Scraping,Typical Melanotic Macule,,OM D-49,,Noel/Chenxu,,Oral Mucosal Melanoma
2879 ,2879,13-59840,,,,,,,,
2876 ,2876,13-59840,,,,,,,,
2699 Tumor,2699,13-61266A,,Tumor,,"AM-17-Tumor,AM-17-Tumor",,,,Acral Melanoma
2714 Tumor,2714,13-62943,,Tumor,,"AM-32-Tumor,AM-32-Tumor",,,,Acral Melanoma
2030 Atypical Melanocytic Proliferation,2030,13-68674,Scraping,Atypical Melanocytic Proliferation,,"OM-4D-2,OM-4D-3",,Noel/Chenxu,,Oral Mucosal Melanoma
2713 Tumor,2713,13-69386B,,Tumor,,"AM-31-Tumor,AM-31-Tumor",,,,Acral Melanoma
1348 Tumor,1348,13-73582,,Tumor,,CGH13-321,,,,CGH Validation
1349 Tumor,1349,13-75788B,,Tumor,,CGH13-340,,,,CGH Validation
2708 Tumor,2708,13-90988,,Tumor,,"AM-26-Tumor,AM-26-Tumor",,,,Acral Melanoma
2808 Tumor,2808,13-98534,,Tumor,,WTMM-20-Tumor_NA,,,,Wild Type Melanoma
2072 Normal,2072,13-98648,Scraping,Normal,,D-551,,,Progression Cases. bastianlab2\HiSeqData_Hunter\JJS_T\AperioScans\JJS\JJS14,Melanoma Evolution
